Binned_Onset_Age,Year1,Year2,Year3,Year4,Year5
1 to 2,0.85,0.8,0.75,0.75,0.75
11 to 14,0.5609756097560976,0.6097560975609756,0.5853658536585366,0.5609756097560976,0.5609756097560976
15 to 19,0.5365853658536586,0.5365853658536586,0.5121951219512195,0.5365853658536586,0.5365853658536586
20 to 24,0.8387096774193549,0.7741935483870968,0.6451612903225806,0.6774193548387096,0.7096774193548387
25 to 29,0.6,0.7,0.7,0.5,0.5
3 to 4,0.8333333333333334,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333334
30 to 34,0.6,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6666666666666666
35 to 39,0.625,0.375,0.375,0.375,0.375
5 to 7,0.6486486486486487,0.7297297297297297,0.6756756756756757,0.7297297297297297,0.7027027027027027
8 to 10,0.7333333333333333,0.6,0.5666666666666667,0.5666666666666667,0.6333333333333333
Less than 1,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666666
Over 40,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
